source_site,category_url,article_url,article_title,article_published_at,article_views,comment_index,comment,author,comment_date,likes,dislikes,scraped_at
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,26,"До коментар #24 от ""Мата Хари"": Ти любовницата с иска на Асен ли си?",Гост,10.04.2026 15:07,13,8,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,27,Тоя няма ли да се махне? Писна ми от него. Нещастник.,Гост,10.04.2026 15:07,22,10,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,28,"До коментар #1 от ""Пълен Провал"": Лама Петрохан Педофил Жълтопаветници ,и децата разбраха че това са опорните точки на Пеевскоборисовата ОПГ. Коментиран от #50",Толкова просто,10.04.2026 15:09,14,15,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,30,"100 милиона за ""бизнеса"", а 20 милиона за 6,5 милиона население! Ето, това е либералната политика на сегашното соросоидно правителство. Който пее такива политкоректни кретенщини, е по безмозъчен от египетска мумия. Народа вече е много гневен на всички политически толупи. И такива малоумни писания го правят още по гневен, и ще го изкарат по улиците още по бързо!!! Е да видите, когато акъл дават тъпаци, които са Харвард, или Урсула образовани. 40% повишено каско от вчера, само за година. Юли 2025 фирма ми повиши услугите и тя с 40%. Домати 5 юро, агнешко миналата година 16 лв., тази 20 юрошита. Масло миналата година преди юрошита 4.70 лв., тази година над 9 лв. За ток и студена вода не говорим повишения, те не влизат в статистиката. Двоен ценови шок, прием Юрошит и криза горива. Представител на Територията в ЕЦБ. Да му мислят банковите служители, които не подкрепиха протестите срещу Юрошита. Окончателно ни заробиха, за разлика от Полша, че и цифров става. От въвеждането на евраците няма никаква инфлация! Тъй говореха Боко, Ампарцумян, знайни и незнайни есперти и много ментъраджии и шмекери. Излъгаха народа и трябва да бъдат изритани отзаде на изборите!",Горски,10.04.2026 15:20,13,9,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,31,"""Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет"" - и като въведете Нексото? А после пак ще се прегърнете с Делянчо и Тиквоча?",крадци на милиарди,10.04.2026 15:24,13,9,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,32,"Като чета коментарите, тоя народ си заслужава ГЕРБ и 150 евро пенсия.",бфбж,10.04.2026 15:27,11,19,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,33,"Антикризисния пакет, ако включва заем, не ни го предлагайте, а ако не включва заем, вероятно ще го предложат и другите партии.",Айше,10.04.2026 15:29,12,7,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,34,"Oooooo, вдигането на доходите с помощта на огромни външни заеми е коронният номер на кръглата Ло е на топ чи ца, всички го знаем😂😂😂 Интересен ще е цирковият фокус с антикризисния розов пакет.....аааааа, сетих се - пак ще се вземат заеми, паричките ще се опаковат в пакетчета и ще бъдат раздадени антикризисно. После, след отчисленията от 30% джобни, розовите понита дружно ще отлетят за островите в топлите морета, където с кеф ще си ги похарчат! Гениално, нали?",Тити на Кака,10.04.2026 15:33,17,8,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,35,"не можете вие ! За гербаджиите сте немогачи, за Радев сте шарлатани, а за Народа сте и двете !",Нищо,10.04.2026 15:34,18,8,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,36,"С едни 20 млрд евро нов дълг една година ще поживеете прилично, преди да си изпратите децата при западните господари да им мият задниците.",000,10.04.2026 15:39,16,8,2026-04-11 17:24:00
